Ns;Groupes;N;Ncir;Lcir;Ncal;Lcal1;Wcal1;Lcallg;Wcallg;Hrad;Hinterad;Dprox;Dapex;Wrdle;LinteradG;Lrad;LinteradD;WIbr1;WIbr2;LIbr2;WIIbr1;LIIbr1;WIIbr2;LIIbr2;WIIbr3;LIIbr3;WIIbr4;LIIbr4;WIIbr5;LIIbr5;WIIbr6;LIIbr6;WIIbr7;LIIbr7;WIIbr8;LIIbr8;LP1;NPiP1 ;W1Pi1;L1Pi1;LP2;NPiP2;W1Pi2;L1Pi2;LP3;NPiP3;W1Pi3;L1Pi3;LP4;NPiP4;W1Pi4;L1Pi4;LP5;NPiP5;W1Pi5;L1Pi5;LPmed;NPiPmed;W1Pimed;L1Pimed;LPdis;NPiPdis;W1Pidis;L1Pidis;Morphologie;Sygyzie 1;Sygyzie 2;Sygyzie 3
Nv_391_1736_COI;7;199_4_391;21,00;NA;NA;0,50;1,10;1,20;0,90;3,50;3,70;4,20;0,90;2,50;1,40;0,90;1,20;2,20;2,70;2,50;2,00;1,05;2,20;1,70;2,30;0,70;2,20;0,90;2,10;1,40;2,20;1,40;2,10;1,20;2,40;1,30;NA;NA;0,75;0,80;NA;NA;0,75;0,70;NA;NA;0,70;0,75;NA;NA;0,65;0,85;NA;NA;0,75;0,75;NA;NA;0,90;0,80;NA;NA;NA;NA;8;s5,6;s10,11;s15,16
Nm_312_1633_COI;7;197_5_312;36,00;NA;NA;0,70;1,20;1,50;1,10;4,60;4,90;5,60;1,40;3,80;1,50;0,90;1,30;3,40;4,20;3,00;2,40;0,90;2,70;1,80;2,80;0,80;2,60;0,90;2,50;1,40;2,70;1,30;2,90;1,40;2,70;1,50;NA;NA;1,05;1,05;NA;NA;1,05;1,05;NA;NA;0,85;0,90;NA;NA;1,05;0,85;NA;NA;1,10;0,85;NA;NA;1,05;1,05;NA;NA;NA;NA;7;s11,12;s15,16;NA
Nv_309_1736_COI;7;197_5_309;34,00;NA;NA;0,80;1,20;1,30;1,10;3,50;3,80;4,70;1,10;2,80;1,40;1,10;1,30;2,70;3,20;2,80;2,60;1,05;2,50;1,70;2,40;1,10;2,50;0,80;2,50;1,50;2,40;1,40;2,40;1,30;2,40;1,30;NA;NA;0,70;0,90;NA;NA;0,80;0,85;NA;NA;0,75;0,75;NA;NA;0,80;0,75;NA;NA;0,80;0,80;NA;NA;0,85;0,60;NA;NA;0,70;0,65;7;s12,13;s16,17;NA
Nv_259_1633_COI;7;193_9_259;31,00;NA;NA;0,60;1,10;1,30;1,10;4,50;4,80;5,70;1,50;3,30;1,20;1,10;1,30;2,50;3,70;2,50;2,70;1,10;2,40;2,00;2,60;1,10;2,40;0,80;2,50;1,70;2,50;1,60;2,50;1,30;2,50;1,60;NA;NA;0,80;0,75;NA;NA;0,75;0,80;NA;NA;0,70;0,70;NA;NA;0,75;0,75;NA;NA;0,75;0,65;NA;NA;0,75;0,75;NA;NA;NA;NA;7;s8,9;s12,13;s16,17
Nm_394_1633_COI;7;199_4_394;33,00;NA;NA;0,80;1,10;1,20;1,10;2,50;3,20;5,00;0,90;2,90;1,70;0,80;1,40;2,60;3,50;2,60;2,20;0,90;2,70;2,10;2,60;1,20;2,40;0,80;2,50;1,90;2,30;1,30;2,30;1,30;2,20;1,80;NA;NA;0,70;0,70;NA;NA;0,65;0,80;NA;NA;0,80;0,65;NA;NA;0,75;0,70;NA;NA;1,10;0,70;NA;NA;0,90;0,75;NA;NA;0,85;0,70;7;s9,10;s14,15;NA
Nv_311_1633_COI;7;197_5_311;24,00;NA;NA;0,70;0,80;1,10;0,90;2,90;3,40;3,40;0,80;2,30;1,30;0,70;1,10;1,80;2,50;2,20;1,80;1,10;2,00;1,50;1,80;0,70;1,90;0,60;1,90;1,20;1,80;1,10;1,70;1,10;1,60;1,30;NA;NA;0,60;0,75;NA;NA;0,55;0,60;NA;NA;0,60;0,65;NA;NA;0,60;0,60;NA;NA;0,70;0,50;NA;NA;0,60;0,75;NA;NA;NA;NA;7;s9,10;s14,15;NA
Nm_310_1633_COI;7;197_5_310;26,00;NA;NA;0,70;1,90;1,40;1,10;3,10;4,30;5,20;1,10;2,70;1,10;0,80;1,20;2,30;3,20;2,70;2,10;0,90;2,30;1,70;2,20;0,80;2,20;0,70;2,10;1,30;2,30;1,40;2,20;1,20;2,10;1,50;NA;NA;0,65;0,80;NA;NA;0,75;0,75;NA;NA;0,65;0,65;NA;NA;0,75;0,75;NA;NA;0,85;0,65;NA;NA;0,85;0,75;NA;NA;NA;NA;7;s9,10;s15,16;NA
Nv_263_1633_COI;7;193_9_263;28,00;NA;NA;0,70;1,30;1,30;1,10;3,90;4,20;4,50;1,10;3,20;1,40;1,10;1,30;2,60;3,30;2,60;2,50;0,60;2,40;1,80;2,50;1,10;2,20;1,05;2,10;1,50;1,90;1,40;2,20;1,40;2,00;1,60;NA;NA;0,75;0,65;NA;NA;0,70;0,80;NA;NA;0,70;0,70;NA;NA;0,75;0,65;NA;NA;0,80;0,60;NA;NA;0,75;0,80;NA;NA;0,60;0,65;7;s13,14;NA;NA
Nv_258_1633_COI;7;193_9_258;36,00;NA;NA;0,90;1,30;1,60;1,10;4,50;4,40;6,50;1,70;3,70;1,50;0,90;1,80;2,80;3,80;3,20;2,70;1,20;2,90;2,20;2,80;1,10;2,80;1,30;2,80;1,90;2,90;1,80;2,30;1,60;2,90;1,50;NA;NA;1,05;1,05;NA;NA;0,85;0,90;NA;NA;1,05;0,85;NA;NA;1,05;1,15;NA;NA;1,15;1,10;NA;NA;1,10;1,05;NA;NA;0,90;0,75;7;s11,12;s16,17;NA
Nv_397_1736_COI;7;199_4_397;34,00;NA;NA;0,50;1,20;1,30;1,10;3,40;3,60;4,60;0,90;3,10;1,30;0,70;1,20;2,60;3,20;2,60;2,30;1,10;2,40;2,00;2,30;0,90;2,30;0,80;2,30;1,30;2,30;1,20;2,20;1,40;2,20;1,10;NA;NA;0,80;0,80;NA;NA;0,75;0,80;NA;NA;0,65;0,75;NA;NA;0,75;0,80;NA;NA;0,80;0,85;NA;NA;0,85;1,05;NA;NA;NA;NA;7;s9,10;s14,15;NA
