Ns;Groupes;N;Lcal1;Wcal1;Lcallg;Wcallg;Hrad;Hinterad;Dprox;Dapex;Wrdle;LinteradG;Lrad;LinteradD;WIbr1;WIbr2;LIbr2;WIIbr1;LIIbr1;WIIbr2;LIIbr2;WIIbr3;LIIbr3;WIIbr4;LIIbr4;WIIbr5;LIIbr5;WIIbr6;LIIbr6;WIIbr7;LIIbr7;WIIbr8;LIIbr8;W1Pi1;L1Pi1;W1Pi2;L1Pi2;W1Pi3;L1Pi3;W1Pi4;L1Pi4;W1Pi5;L1Pi5
TANv466Notocrinus;3;IE2009466;0,70;1,40;1,10;1,20;6,20;6,90;6,50;1,10;4,30;1,70;1,20;2,00;4,30;5,70;3,70;3,10;1,40;3,60;2,70;3,70;1,30;3,10;1,05;3,20;2,20;3,40;2,00;3,20;2,10;3,30;1,90;0,65;1,55;1,05;1,15;1,05;0,85;1,25;1,05;1,40;0,80
TANv472Notocrinus;3;IE2009472;0,80;1,50;1,60;1,10;5,30;5,50;5,90;1,20;3,90;1,90;1,50;2,00;3,60;3,00;5,40;3,00;0,80;2,50;1,80;2,90;0,80;2,50;1,10;2,50;1,80;2,60;1,70;2,60;1,30;2,40;1,60;1,30;1,05;0,60;0,90;0,80;0,70;1,05;0,70;0,90;0,55
TANv193Notocrinus;3;IE2009193;0,50;1,30;1,05;0,85;2,60;3,10;4,20;1,10;1,90;1,20;0,80;1,20;1,90;2,90;1,90;1,65;0,90;1,80;1,55;1,90;0,80;1,80;0,90;1,80;1,45;1,90;1,25;1,70;1,20;1,55;1,05;1,05;1,05;0,55;0,70;0,60;0,55;1,30;0,60;0,65;0,50
TANv456Notocrinus;3;IE2009456;0,70;1,30;1,20;1,10;6,20;6,70;7,20;1,50;4,00;2,20;1,30;2,00;4,30;5,50;3,90;3,50;1,20;3,30;2,40;3,50;1,10;3,10;0,90;3,20;2,00;3,20;1,90;3,10;1,70;3,10;1,70;0,85;0,75;0,90;0,75;0,75;0,80;0,95;0,85;1,45;0,70
TANv471Notocrinus;3;IE2009471;0,80;1,60;0,75;1,20;5,10;5,40;5,50;1,30;3,30;1,60;1,10;1,80;5,20;4,90;3,20;3,00;1,30;2,90;2,50;3,50;1,10;2,90;1,20;3,00;1,90;3,10;1,90;2,80;1,90;2,90;1,70;1,15;1,10;1,25;0,95;0,95;0,95;0,85;1,05;0,85;1,10
TANv195Notocrinus;3;IE2009195;0,70;1,10;1,05;0,80;3,20;3,50;3,40;0,70;2,10;1,40;1,05;1,50;2,50;2,90;2,20;2,10;1,05;2,00;1,70;2,00;0,70;1,90;1,05;1,90;1,40;1,80;1,40;1,80;1,20;1,80;1,30;0,60;0,75;0,65;0,70;0,65;0,65;0,70;0,70;0,70;0,75
Nv467COI;3;IE2009467;0,70;1,70;1,20;1,10;4,30;4,60;5,80;0,80;3,80;1,70;1,30;1,90;3,20;4,70;3,70;3,30;1,30;3,10;2,50;3,10;1,05;3,00;1,20;3,00;2,00;2,90;1,90;2,90;1,90;2,80;2,00;0,80;0,90;0,85;1,05;1,10;1,05;1,15;0,85;1,20;0,85
BTC211;3;BTC211;0,50;1,25;1,10;1,10;4,70;5,30;4,90;1,10;3,35;1,20;1,10;1,35;2,80;3,45;2,60;2,25;1,05;2,30;1,50;2,40;1,05;2,20;1,05;2,15;1,25;2,10;1,20;2,00;1,25;2,00;1,05;0,55;0,80;0,60;0,65;0,70;0,70;0,75;0,60;0,90;0,60
BTC269;3;BTC269;0,50;1,15;0,85;0,85;3,25;3,65;4,05;1,45;2,75;1,10;0,80;1,10;2,15;2,65;2,25;2,15;0,60;2,15;1,50;2,10;1,05;1,95;0,85;2,00;1,25;2,00;1,25;1,85;1,05;1,80;1,05;0,55;1,05;0,65;0,50;0,55;0,55;0,55;0,50;0,50;0,55
BTC252;3;BTC252;0,50;1,20;0,90;1,10;3,85;4,25;4,30;1,10;2,85;1,25;0,90;1,35;2,60;3,15;2,55;2,30;1,05;2,25;1,55;2,15;1,05;1,95;1,05;2,00;1,30;2,00;1,15;1,95;1,20;1,95;1,20;0,70;0,75;0,75;0,55;0,75;0,60;0,85;0,55;0,85;0,50
BTC2033;3;BTC2033;0,35;0,85;0,75;0,60;2,60;3,45;3,25;0,90;1,95;0,90;0,75;0,85;1,70;2,20;1,75;1,35;0,75;1,35;1,25;1,50;0,70;1,45;0,75;1,25;0,85;1,30;0,80;1,25;0,80;1,20;0,75;0,30;0,55;0,40;0,45;0,45;0,45;0,45;0,50;0,50;0,55
RSMNA18471Notocrinus;3;18471;0,80;1,70;1,10;1,10;4,50;4,60;4,90;1,20;3,10;1,40;1,10;1,50;3,80;4,20;3,50;3,20;1,05;3,00;2,20;3,10;0,90;2,90;1,10;2,90;1,60;2,90;1,50;2,90;1,40;2,90;1,40;0,80;1,05;0,75;0,80;0,80;0,75;0,75;0,85;0,90;0,75
RSCHMNA18472Notocrinus;3;18472;0,60;1,70;1,10;1,20;3,40;4,40;5,70;1,30;2,70;1,30;1,10;1,40;4,20;3,90;3,10;2,90;0,70;2,80;1,60;3,10;1,05;2,70;0,90;2,80;0,70;3,00;1,60;2,90;1,70;3,00;1,50;0,55;0,80;0,80;0,85;0,90;0,80;0,85;0,85;1,05;0,80
RSCAMNA19832Notocrinus;3;19832;0,70;1,60;1,50;1,30;3,70;4,10;5,20;1,40;3,60;1,30;0,90;1,40;3,20;4,10;3,20;2,90;1,10;2,80;2,20;3,10;1,05;2,90;0,90;3,00;1,60;2,90;1,30;2,80;1,40;2,70;1,10;0,65;1,05;0,90;1,05;1,05;0,75;1,10;1,10;1,10;0,85
RSMNA19831Notocrinus;3;19831;0,60;1,60;0,90;1,10;4,50;4,70;5,50;1,90;3,10;1,20;1,20;1,50;3,20;3,60;3,30;2,40;0,70;2,30;2,00;2,70;0,80;2,70;1,05;2,20;1,70;2,70;1,60;2,60;1,90;2,50;1,05;1,35;0,75;0,75;0,55;0,70;0,70;0,80;0,60;1,10;0,65
RSCHMNA184710Notocrinus;3;184710;0,70;1,70;1,10;1,10;4,50;4,70;5,80;1,60;3,10;1,20;0,70;1,60;3,10;3,70;3,10;2,90;0,60;2,60;1,90;2,90;0,80;2,70;1,05;2,60;1,40;2,60;0,90;2,50;0,80;2,60;1,50;0,85;1,10;0,90;0,85;1,20;0,85;1,15;0,80;1,30;0,80
RSCHMNA18681Notocrinus;3;18681;0,60;1,55;0,75;0,85;8,16;8,64;8,16;1,30;4,30;2,10;1,50;2,00;4,90;4,20;4,80;3,50;1,10;3,60;2,60;3,80;1,05;3,70;1,10;3,40;2,10;3,50;1,80;3,20;2,00;3,40;1,70;1,10;1,10;1,30;1,05;1,25;1,05;1,25;1,10;1,30;1,10
RSCHMNA18586Notocrinus;3;18586;0,40;1,70;0,90;1,10;3,90;4,30;4,40;1,10;2,90;1,20;1,10;1,50;2,60;3,70;2,60;1,90;1,05;2,20;1,60;2,40;0,90;2,00;0,90;2,20;1,50;2,30;1,20;1,90;1,30;2,10;1,30;0,75;0,65;1,05;0,70;0,75;0,60;0,85;0,60;1,05;0,65
