Ns;Groupes;N;Lcal1;Wcal1;Lcallg;Wcallg;Hrad;Hinterad;Dprox;Dapex;Wrdle;LinteradG;Lrad;LinteradD;WIbr1;WIbr2;LIbr2;WIIbr1;LIIbr1;WIIbr2;LIIbr2;WIIbr3;LIIbr3;WIIbr4;LIIbr4;WIIbr5;LIIbr5;WIIbr6;LIIbr6;WIIbr7;LIIbr7;WIIbr8;LIIbr8;W1Pi1;L1Pi1;W1Pi2;L1Pi2;W1Pi3;L1Pi3;W1Pi4;L1Pi4;W1Pi5;L1Pi5
Nm_260_1633_COI;7;193_9_260;0,60;1,10;1,30;1,10;3,50;4,20;4,50;1,20;3,10;1,40;1,10;1,50;2,40;3,30;2,80;2,30;0,90;2,50;2,00;2,70;0,90;2,50;0,90;2,40;1,90;2,40;1,50;2,20;1,20;2,20;1,70;0,80;0,90;0,75;0,60;0,85;0,60;0,90;0,65;0,90;0,80
Nv_315_1633_COI;7;197_5_315;0,50;1,10;1,30;1,10;4,70;5,30;6,50;1,30;4,60;2,00;0,50;1,70;3,20;5,00;3,60;3,20;1,10;3,10;2,10;3,20;1,10;3,00;1,20;3,10;1,80;3,00;1,90;3,00;1,70;3,10;1,60;0,65;1,15;0,85;0,80;0,85;0,80;0,90;0,75;1,10;0,80
Nv_399_1633_COI;7;199_4_399;0,80;1,40;1,40;1,10;4,40;5,10;6,80;1,20;4,00;1,70;1,10;1,60;3,70;3,90;3,80;3,00;1,10;3,00;2,50;3,10;1,05;2,90;1,10;3,00;2,00;3,00;1,70;2,80;1,80;2,70;1,60;1,05;1,05;0,85;0,90;1,05;0,75;0,90;0,75;1,10;0,85
1412_CO1;7;1412;0,80;1,20;1,40;1,10;3,10;3,60;6,20;0,70;2,80;1,50;0,60;1,70;2,50;3,30;3,00;2,50;1,05;2,20;2,00;2,50;1,10;2,30;1,05;2,20;1,40;2,40;1,50;2,50;1,50;2,40;1,40;0,85;0,90;0,85;0,85;0,85;0,85;1,10;0,75;0,90;0,75
Nm_261_1633_COI;7;193_9_261;0,70;1,20;1,30;1,10;5,50;5,80;4,10;1,50;2,90;1,70;0,70;1,40;2,30;3,30;2,70;2,50;1,20;2,60;2,10;2,50;1,10;2,50;1,05;2,50;1,50;2,40;1,70;2,50;1,50;2,50;1,40;0,85;0,90;0,70;0,85;0,80;0,75;0,85;0,85;1,10;0,65
Nm_395_1633_COI;7;1994_4_395;0,50;1,20;1,40;1,50;4,70;5,20;4,10;1,10;3,60;2,20;0,70;1,70;2,90;3,80;2,90;2,20;1,05;2,50;2,10;2,70;0,90;2,50;1,05;2,40;2,00;2,60;1,50;2,60;1,10;2,60;1,30;0,85;0,75;0,75;0,60;1,05;0,70;1,05;0,70;1,10;0,65
Nm_396_1633_COI;7;199_4_396;0,55;1,25;1,40;1,10;5,10;5,90;6,60;1,95;3,05;1,25;0,65;1,40;2,80;2,95;2,30;3,35;0,85;3,00;2,35;3,05;1,05;2,95;1,05;3,15;1,70;3,10;1,55;3,05;1,45;2,95;1,30;0,90;1,05;0,85;0,65;0,90;0,70;1,20;1,05;1,25;0,90
Nv_391_1736_COI;7;199_4_391;0,50;1,10;1,20;0,90;3,50;3,70;4,20;0,90;2,50;1,40;0,90;1,20;2,20;2,70;2,50;2,00;1,05;2,20;1,70;2,30;0,70;2,20;0,90;2,10;1,40;2,20;1,40;2,10;1,20;2,40;1,30;0,75;0,80;0,75;0,70;0,70;0,75;0,65;0,85;0,75;0,75
Nm_312_1633_COI;7;197_5_312;0,70;1,20;1,50;1,10;4,60;4,90;5,60;1,40;3,80;1,50;0,90;1,30;3,40;4,20;3,00;2,40;0,90;2,70;1,80;2,80;0,80;2,60;0,90;2,50;1,40;2,70;1,30;2,90;1,40;2,70;1,50;1,05;1,05;1,05;1,05;0,85;0,90;1,05;0,85;1,10;0,85
Nv_309_1736_COI;7;197_5_309;0,80;1,20;1,30;1,10;3,50;3,80;4,70;1,10;2,80;1,40;1,10;1,30;2,70;3,20;2,80;2,60;1,05;2,50;1,70;2,40;1,10;2,50;0,80;2,50;1,50;2,40;1,40;2,40;1,30;2,40;1,30;0,70;0,90;0,80;0,85;0,75;0,75;0,80;0,75;0,80;0,80
Nv_259_1633_COI;7;193_9_259;0,60;1,10;1,30;1,10;4,50;4,80;5,70;1,50;3,30;1,20;1,10;1,30;2,50;3,70;2,50;2,70;1,10;2,40;2,00;2,60;1,10;2,40;0,80;2,50;1,70;2,50;1,60;2,50;1,30;2,50;1,60;0,80;0,75;0,75;0,80;0,70;0,70;0,75;0,75;0,75;0,65
Nm_394_1633_COI;7;199_4_394;0,80;1,10;1,20;1,10;2,50;3,20;5,00;0,90;2,90;1,70;0,80;1,40;2,60;3,50;2,60;2,20;0,90;2,70;2,10;2,60;1,20;2,40;0,80;2,50;1,90;2,30;1,30;2,30;1,30;2,20;1,80;0,70;0,70;0,65;0,80;0,80;0,65;0,75;0,70;1,10;0,70
Nv_311_1633_COI;7;197_5_311;0,70;0,80;1,10;0,90;2,90;3,40;3,40;0,80;2,30;1,30;0,70;1,10;1,80;2,50;2,20;1,80;1,10;2,00;1,50;1,80;0,70;1,90;0,60;1,90;1,20;1,80;1,10;1,70;1,10;1,60;1,30;0,60;0,75;0,55;0,60;0,60;0,65;0,60;0,60;0,70;0,50
Nm_310_1633_COI;7;197_5_310;0,70;1,90;1,40;1,10;3,10;4,30;5,20;1,10;2,70;1,10;0,80;1,20;2,30;3,20;2,70;2,10;0,90;2,30;1,70;2,20;0,80;2,20;0,70;2,10;1,30;2,30;1,40;2,20;1,20;2,10;1,50;0,65;0,80;0,75;0,75;0,65;0,65;0,75;0,75;0,85;0,65
Nv_263_1633_COI;7;193_9_263;0,70;1,30;1,30;1,10;3,90;4,20;4,50;1,10;3,20;1,40;1,10;1,30;2,60;3,30;2,60;2,50;0,60;2,40;1,80;2,50;1,10;2,20;1,05;2,10;1,50;1,90;1,40;2,20;1,40;2,00;1,60;0,75;0,65;0,70;0,80;0,70;0,70;0,75;0,65;0,80;0,60
Nv_258_1633_COI;7;193_9_258;0,90;1,30;1,60;1,10;4,50;4,40;6,50;1,70;3,70;1,50;0,90;1,80;2,80;3,80;3,20;2,70;1,20;2,90;2,20;2,80;1,10;2,80;1,30;2,80;1,90;2,90;1,80;2,30;1,60;2,90;1,50;1,05;1,05;0,85;0,90;1,05;0,85;1,05;1,15;1,15;1,10
Nv_397_1736_COI;7;199_4_397;0,50;1,20;1,30;1,10;3,40;3,60;4,60;0,90;3,10;1,30;0,70;1,20;2,60;3,20;2,60;2,30;1,10;2,40;2,00;2,30;0,90;2,30;0,80;2,30;1,30;2,30;1,20;2,20;1,40;2,20;1,10;0,80;0,80;0,75;0,80;0,65;0,75;0,75;0,80;0,80;0,85
